session_id,virt_used,virt_size,phys_used,phys_size,timestamp
4,13.8,16.4,5.8,6.9,2023-07-24 16:31:35.777554
4,13.8,16.4,5.8,6.9,2023-07-24 16:31:39.834378
4,13.8,16.4,5.8,6.9,2023-07-24 16:31:43.754399
4,13.8,16.4,5.8,6.9,2023-07-24 16:31:47.779438
4,13.8,16.4,5.8,6.9,2023-07-24 16:31:51.955383
4,13.8,16.4,5.8,6.9,2023-07-24 16:31:55.831276
4,13.8,16.4,5.8,6.9,2023-07-24 16:31:59.831277
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:03.872785
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:07.991143
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:11.928705
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:15.969440
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:19.834359
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:23.772447
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:27.845369
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:31.850793
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:35.901745
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:39.905988
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:43.863748
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:47.917549
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:51.912713
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:55.895737
4,13.8,16.4,5.8,6.9,2023-07-24 16:32:59.898214
4,13.8,16.4,5.8,6.9,2023-07-24 16:33:03.897273
4,13.8,16.4,5.8,6.9,2023-07-24 16:33:05.898275
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:09.957878
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:13.975538
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:18.037198
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:21.976298
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:30.115718
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:34.062953
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:38.000088
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:40.023248
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:44.022811
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:46.158784
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:50.168026
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:54.136003
4,13.9,16.4,5.7,6.9,2023-07-24 16:33:58.077587
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:02.125903
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:06.099793
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:10.118250
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:14.162033
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:18.251029
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:22.212019
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:26.182449
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:28.166692
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:30.202344
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:34.214361
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:38.286702
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:42.396106
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:46.266907
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:50.414675
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:54.384959
4,13.9,16.4,5.7,6.9,2023-07-24 16:34:58.355094
4,13.9,16.4,5.7,6.9,2023-07-24 16:35:02.376063
4,13.9,16.4,5.7,6.9,2023-07-24 16:35:06.344173
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:10.372557
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:14.377005
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:18.417122
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:22.405056
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:24.452381
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:28.393185
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:32.480104
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:36.380770
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:40.355048
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:44.360627
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:48.409714
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:52.366193
4,13.8,16.4,5.7,6.9,2023-07-24 16:35:56.473687
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:02.326594
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:04.585525
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:08.884530
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:12.818525
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:16.782526
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:20.789525
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:24.743531
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:28.921529
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:32.862530
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:36.828526
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:40.740525
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:44.524122
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:48.504499
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:52.505411
4,13.8,16.4,5.7,6.9,2023-07-24 16:36:56.588512
4,13.8,16.4,5.7,6.9,2023-07-24 16:37:00.547761
4,13.8,16.4,5.7,6.9,2023-07-24 16:37:04.594013
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:08.640599
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:13.665791
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:17.116796
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:20.625906
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:24.600622
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:28.583750
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:32.625506
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:36.630884
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:40.582678
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:44.605365
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:48.644940
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:52.687448
4,13.9,16.4,5.8,6.9,2023-07-24 16:37:56.688530
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:00.676255
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:04.662972
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:08.659866
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:12.699170
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:16.794941
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:20.847877
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:24.732225
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:28.782193
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:32.917792
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:36.805050
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:40.934696
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:44.885045
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:48.825739
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:50.859106
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:54.871819
4,13.9,16.4,5.8,6.9,2023-07-24 16:38:58.839162
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:02.897942
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:06.891242
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:10.973844
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:14.919337
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:18.959044
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:22.997943
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:26.938288
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:30.973739
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:35.009877
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:38.962188
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:42.989257
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:47.056921
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:51.011870
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:55.070508
4,13.9,16.4,5.8,6.9,2023-07-24 16:39:59.050598
